Detector, Descriptor, Image id, No keypoints, No keypoints on preceding vehicle, No matched keypoints, Keypoint detection time (ms), Descriptor extraction time (ms), Matching time (ms)
ORB,ORB,5,500,124,91,10.6535,18.4174,0.2252
ORB,ORB,6,500,129,99,11.0476,18.155,0.1969
ORB,ORB,7,500,127,94,13.3445,18.8527,0.2269
ORB,ORB,8,500,124,91,10.4615,17.94,0.2109
ORB,ORB,9,500,125,89,10.921,18.9622,0.2172
ORB,FREAK,0,500,91,0,11.2673,50.1034,0
ORB,FREAK,1,500,102,41,10.7761,48.0533,0.1224
ORB,FREAK,2,500,106,36,9.9201,47.5845,0.1304
ORB,FREAK,3,500,113,45,10.0514,46.6725,0.1312
ORB,FREAK,4,500,109,47,10.1887,49.4479,0.1317
ORB,FREAK,5,500,124,44,10.1528,48.6631,0.1234
ORB,FREAK,6,500,129,51,10.6573,48.3405,0.1372
ORB,FREAK,7,500,127,52,10.5269,48.8505,0.1329
ORB,FREAK,8,500,124,48,10.3733,46.0486,0.1285
ORB,FREAK,9,500,125,53,10.0693,46.378,0.1424
ORB,SIFT,0,500,91,0,10.0532,59.7466,0
ORB,SIFT,1,500,102,66,10.8171,37.5468,0.1434
ORB,SIFT,2,500,106,79,10.9208,36.7828,0.193
ORB,SIFT,3,500,113,78,10.4963,45.3384,0.1986
ORB,SIFT,4,500,109,79,11.4672,38.9936,0.2246
ORB,SIFT,5,500,124,82,15.0121,42.9706,0.244
ORB,SIFT,6,500,129,93,15.4791,48.6548,0.646
ORB,SIFT,7,500,127,94,13.8454,46.6236,0.29
ORB,SIFT,8,500,124,93,14.1351,53.4944,0.2653
ORB,SIFT,9,500,125,92,17.0887,58.0441,0.3336
AKAZE,BRISK,0,1351,162,0,185.782,2.3883,0
AKAZE,BRISK,1,1327,157,134,115.146,1.9509,0.2581
AKAZE,BRISK,2,1311,159,124,77.0134,1.9199,0.2858
AKAZE,BRISK,3,1351,154,129,61.7772,1.862,0.2651
AKAZE,BRISK,4,1360,162,128,55.3282,2.1234,0.2972
AKAZE,BRISK,5,1347,163,130,76.8726,3.4913,0.2814
AKAZE,BRISK,6,1363,173,132,89.95,2.4291,0.2884
AKAZE,BRISK,7,1331,175,142,68.0382,2.4446,0.3457
AKAZE,BRISK,8,1358,175,144,77.034,2.4825,0.3493
AKAZE,BRISK,9,1331,175,141,113.732,2.5762,0.4135
AKAZE,BRIEF,0,1351,162,0,86.1118,0.9506,0
AKAZE,BRIEF,1,1327,157,137,85.8656,1.0238,0.4434
AKAZE,BRIEF,2,1311,159,133,79.8009,1.1152,0.3648
AKAZE,BRIEF,3,1351,154,130,76.6624,1.5777,0.3475
AKAZE,BRIEF,4,1360,162,130,77.6677,1.0757,0.3141
AKAZE,BRIEF,5,1347,163,134,74.2414,1.0353,0.3446
AKAZE,BRIEF,6,1363,173,146,77.3412,1.7443,0.4225
AKAZE,BRIEF,7,1331,175,150,82.2483,1.1907,0.4444
AKAZE,BRIEF,8,1358,175,147,88.4626,1.7606,0.4329
AKAZE,BRIEF,9,1331,175,150,84.1673,1.2647,0.422
AKAZE,ORB,0,1351,162,0,87.244,17.8813,0
AKAZE,ORB,1,1327,157,127,80.7096,21.4492,0.3082
AKAZE,ORB,2,1311,159,128,78.181,16.4063,0.3334
